readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Tmem104,BAE,1,no-UMI,Ctcf,7,A01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rnf2,7,A02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,A03,NA,0,GOOD,
Tmem104,BAE,1,no-UMI,Parp1,7,A04,0,1,MED,
Tmem104,BAE,1,no-UMI,Parp1,7,A05,1,1,LOW,
Tmem104,BAE,1,no-UMI,Zfp57,7,A06,0,22,GOOD,
Tmem104,BAE,1,no-UMI,Atf7ip,7,A07,NA,0,MED-GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,7,A08,0.985380117,344,GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,7,A09,0.333333333,3,LOW,
Tmem104,BAE,1,no-UMI,Suv39h1,7,A10,1,1,MED,
Tmem104,BAE,1,no-UMI,Smchd1,7,A11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Sirt1,7,A12,0.891625616,406,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,B01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rad21,7,B02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,B03,0.5,2,LOW,
Tmem104,BAE,1,no-UMI,Hdac1,7,B04,0,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,B05,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,B06,0,1,MED-GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,B07,0,2,MED-GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,B08,1,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,B09,NA,0,GOOD,
Tmem104,BAE,1,no-UMI,Sirt1,7,B10,NA,0,MED,
Tmem104,BAE,1,no-UMI,Parp1,7,B11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Hdac2,7,B12,1,1,MED,
Tmem104,BAE,1,no-UMI,Smchd1,7,C01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,C02,1,24,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,C03,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rrm2,7,C04,0,1,LOW,
Tmem104,BAE,1,no-UMI,Smchd1,7,C05,0,41,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,C06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Kmt5a,7,C07,1,1,LOW,
Tmem104,BAE,1,no-UMI,Luciferase,7,C08,0.2,10,MED-GOOD,
Tmem104,BAE,1,no-UMI,Dnmt1,7,C09,0,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,C10,1,1,LOW,
Tmem104,BAE,1,no-UMI,Rad21,7,C11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ring1,7,C12,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,D01,0.76,226,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,D02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ring1,7,D03,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Kmt5a,7,D04,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,D05,0,1,LOW,
Tmem104,BAE,1,no-UMI,Ctcf,7,D06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Suv39h1,7,D07,0.333333333,3,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,D08,NA,0,LOW,
Tmem104,BAE,1,no-UMI,GFP,7,D09,0,409,GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,7,D10,1,1,GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,7,D11,0.5,4,LOW,
Tmem104,BAE,1,no-UMI,Smchd1,7,D12,0.275316456,316,GOOD,
Tmem104,BAE,1,no-UMI,Eed,7,E01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Atf7ip,7,E02,0.5,2,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,E03,1,1,MED,
Tmem104,BAE,1,no-UMI,Rad21,7,E04,0.852941176,34,GOOD,
Tmem104,BAE,1,no-UMI,Hdac1,7,E05,NA,0,MED,
Tmem104,BAE,1,no-UMI,Rad21,7,E06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,E07,0.975369458,203,MED,
Tmem104,BAE,1,no-UMI,Rnf2,7,E08,0.148044693,358,GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,7,E09,0.5,2,MED,
Tmem104,BAE,1,no-UMI,Sirt1,7,E10,1,270,MED,
Tmem104,BAE,1,no-UMI,Zfp57,7,E11,0.63800905,442,MED,
Tmem104,BAE,1,no-UMI,Ring1,7,E12,0.9375,65,MED,
Tmem104,BAE,1,no-UMI,Hdac1,7,F01,0.992031873,503,MED,
Tmem104,BAE,1,no-UMI,Sirt1,7,F02,1,1,LOW,
Tmem104,BAE,1,no-UMI,Atf7ip,7,F03,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Parp1,7,F04,0,1,LOW,
Tmem104,BAE,1,no-UMI,Dnmt1,7,F05,0,956,LOW-MED,
Tmem104,BAE,1,no-UMI,Ctcf,7,F06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Zfp57,7,F07,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ctcf,7,F08,0.991769547,243,MED-GOOD,
Tmem104,BAE,1,no-UMI,Rad21,7,F09,0,2,LOW,
Tmem104,BAE,1,no-UMI,Rnf2,7,F10,1,1,MED,
Tmem104,BAE,1,no-UMI,Hdac1,7,F11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Suv39h1,7,F12,0.003496503,861,LOW-MED,
Tmem104,BAE,1,no-UMI,Suv39h1,7,G01,0.553505535,272,MED-GOOD,
Tmem104,BAE,1,no-UMI,Zfp57,7,G02,1,199,LOW-MED,
Tmem104,BAE,1,no-UMI,Smchd1,7,G03,0,1,LOW,
Tmem104,BAE,1,no-UMI,Atf7ip,7,G04,0.246753247,77,MED-GOOD,
Tmem104,BAE,1,no-UMI,Ring1,7,G05,0.990974729,556,MED,
Tmem104,BAE,1,no-UMI,Atf7ip,7,G06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,G07,0.807860262,229,GOOD,
Tmem104,BAE,1,no-UMI,Ctcf,7,G08,0.5,2,MED,
Tmem104,BAE,1,no-UMI,Sirt1,7,G09,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Zfp57,7,G10,NA,0,LOW-MED,
Tmem104,BAE,1,no-UMI,Hdac2,7,G11,0,102,LOW-MED,
Tmem104,BAE,1,no-UMI,Kmt5a,7,G12,1,75,LOW,
Tmem104,BAE,1,no-UMI,Ring1,7,H01,0.054901961,256,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,H02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Parp1,7,H03,0.00625,161,MED-GOOD,
Tmem104,BAE,1,no-UMI,Rnf2,7,H04,0.687110187,964,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,H05,0.735751295,583,GOOD,
Tmem104,BAE,1,no-UMI,Suv39h1,7,H06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Hdac1,7,H07,0.104562738,527,LOW-MED,
Tmem104,BAE,1,no-UMI,Rnf2,7,H08,0,20,MED-GOOD,
Tmem104,BAE,1,no-UMI,pLKO,7,H09,0.261950287,526,GOOD,
Tmem104,BAE,1,no-UMI,pLKO,7,H10,0.521594684,301,GOOD,
Tmem104,BAE,1,no-UMI,EMPTY,7,H11,1,1,L-NC,
Tmem104,BAE,1,no-UMI,EMPTY,7,H12,NA,0,L-NC,
Tmem104,BAE,1,no-UMI,Ctcf,19,A01,0,1,LOW-VL,
Tmem104,BAE,1,no-UMI,Rnf2,19,A02,0,1,LOW-VL,
Tmem104,BAE,1,no-UMI,Ehmt2,19,A03,0.427221172,529,VERY GOOD,
Tmem104,BAE,1,no-UMI,Parp1,19,A04,0.484323432,1217,VERY GOOD,
Tmem104,BAE,1,no-UMI,Parp1,19,A05,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Zfp57,19,A06,0.254032258,248,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atf7ip,19,A07,0.129271917,675,MED,
Tmem104,BAE,1,no-UMI,Hdac2,19,A08,0.340063762,945,VERY GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,19,A09,1,1,LOW-VL,
Tmem104,BAE,1,no-UMI,Suv39h1,19,A10,0.582324455,831,VERY GOOD,
Tmem104,BAE,1,no-UMI,Smchd1,19,A11,NA,0,LOW-VL,
Tmem104,BAE,1,no-UMI,Sirt1,19,A12,0.386266094,2103,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,19,B01,NA,0,LOW-VL,
Tmem104,BAE,1,no-UMI,Rad21,19,B02,0,2,LOW-NC,
Tmem104,BAE,1,no-UMI,Eed,19,B03,1,2,LOW-NC,
Tmem104,BAE,1,no-UMI,Hdac1,19,B04,0.009090909,110,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,19,B05,0,1,LOW-VL,
Tmem104,BAE,1,no-UMI,Eed,19,B06,NA,0,VL,
Tmem104,BAE,1,no-UMI,Rrm2,19,B07,0.528846154,417,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atrx,19,B08,0.43,501,VERY GOOD,
Tmem104,BAE,1,no-UMI,Dnmt1,19,B09,0.402777778,648,VERY GOOD,
Tmem104,BAE,1,no-UMI,Sirt1,19,B10,0,2,LOW,
Tmem104,BAE,1,no-UMI,Parp1,19,B11,NA,0,VL,
Tmem104,BAE,1,no-UMI,Hdac2,19,B12,NA,0,MED-GOOD,
Tmem104,BAE,1,no-UMI,Smchd1,19,C01,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Ehmt2,19,C02,0.359183673,735,VERY GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,19,C03,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Rrm2,19,C04,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Smchd1,19,C05,0.470132743,906,VERY GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,19,C06,0.211072664,579,MED,
Tmem104,BAE,1,no-UMI,Kmt5a,19,C07,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Luciferase,19,C08,0.459677419,372,VERY GOOD,
Tmem104,BAE,1,no-UMI,Dnmt1,19,C09,0.442028986,553,VERY GOOD,
Tmem104,BAE,1,no-UMI,Dnmt1,19,C10,0,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Rad21,19,C11,1,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Ring1,19,C12,0.166666667,24,MED,
Tmem104,BAE,1,no-UMI,Ehmt2,19,D01,0.482142857,280,VERY GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,19,D02,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Ring1,19,D03,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Kmt5a,19,D04,1,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Ehmt2,19,D05,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Ctcf,19,D06,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Suv39h1,19,D07,0.442965779,1057,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atrx,19,D08,0,1,VL,
Tmem104,BAE,1,no-UMI,GFP,19,D09,0.243589744,79,GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,19,D10,0.438461538,261,MED-GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,19,D11,0,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Smchd1,19,D12,0.301204819,84,VERY GOOD,
Tmem104,BAE,1,no-UMI,Eed,19,E01,0.436213992,486,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atf7ip,19,E02,0.245112782,666,LOW,
Tmem104,BAE,1,no-UMI,Eed,19,E03,0.53526971,483,MED-GOOD,
Tmem104,BAE,1,no-UMI,Rad21,19,E04,0.468690702,529,VERY GOOD,
Tmem104,BAE,1,no-UMI,Hdac1,19,E05,0.354609929,846,VERY GOOD,
Tmem104,BAE,1,no-UMI,Rad21,19,E06,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Ehmt2,19,E07,0.427983539,487,GOOD,
Tmem104,BAE,1,no-UMI,Rnf2,19,E08,0.36908078,721,VERY GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,19,E09,1,1,VL,
Tmem104,BAE,1,no-UMI,Sirt1,19,E10,0.5,603,MED-GOOD,
Tmem104,BAE,1,no-UMI,Zfp57,19,E11,0.417910448,469,MED-GOOD,
Tmem104,BAE,1,no-UMI,Ring1,19,E12,0.393229167,384,VERY GOOD,
Tmem104,BAE,1,no-UMI,Hdac1,19,F01,0.588850174,287,MED,
Tmem104,BAE,1,no-UMI,Sirt1,19,F02,0.037940379,371,LOW-MED,
Tmem104,BAE,1,no-UMI,Atf7ip,19,F03,NA,0,LOW-NC,
Tmem104,BAE,1,no-UMI,Parp1,19,F04,NA,0,VL,
Tmem104,BAE,1,no-UMI,Dnmt1,19,F05,0,1,VL,
Tmem104,BAE,1,no-UMI,Ctcf,19,F06,0,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Zfp57,19,F07,NA,0,VL,
Tmem104,BAE,1,no-UMI,Ctcf,19,F08,0.298113208,266,MED,
Tmem104,BAE,1,no-UMI,Rad21,19,F09,0.350574713,348,GOOD,
Tmem104,BAE,1,no-UMI,Rnf2,19,F10,0.253763441,491,VERY GOOD,
Tmem104,BAE,1,no-UMI,Hdac1,19,F11,0.996919918,974,LOW-MED,
Tmem104,BAE,1,no-UMI,Suv39h1,19,F12,NA,0,VL,
Tmem104,BAE,1,no-UMI,Suv39h1,19,G01,0.350299401,336,VERY GOOD,
Tmem104,BAE,1,no-UMI,Zfp57,19,G02,0.432748538,343,VERY GOOD,
Tmem104,BAE,1,no-UMI,Smchd1,19,G03,0,1,LOW-NC,
Tmem104,BAE,1,no-UMI,Atf7ip,19,G04,0.276707531,572,VERY GOOD,
Tmem104,BAE,1,no-UMI,Ring1,19,G05,0.517985612,417,MED,
Tmem104,BAE,1,no-UMI,Atf7ip,19,G06,0,21,LOW,
Tmem104,BAE,1,no-UMI,Eed,19,G07,0.5109375,642,VERY GOOD,
Tmem104,BAE,1,no-UMI,Ctcf,19,G08,0.297619048,84,MED-GOOD,
Tmem104,BAE,1,no-UMI,Sirt1,19,G09,1,1,VL,
Tmem104,BAE,1,no-UMI,Zfp57,19,G10,0,1,VL,
Tmem104,BAE,1,no-UMI,Hdac2,19,G11,0.325581395,432,VERY GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,19,G12,0.195454545,220,GOOD,
Tmem104,BAE,1,no-UMI,Ring1,19,H01,0.434782609,532,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atrx,19,H02,0.292307692,391,LOW,
Tmem104,BAE,1,no-UMI,Parp1,19,H03,0.434689507,469,VERY GOOD,
Tmem104,BAE,1,no-UMI,Rnf2,19,H04,0.535804549,1189,VERY GOOD,
Tmem104,BAE,1,no-UMI,Atrx,19,H05,0.389400922,871,VERY GOOD,
Tmem104,BAE,1,no-UMI,Suv39h1,19,H06,NA,0,VL,
Tmem104,BAE,1,no-UMI,Hdac1,19,H07,0.77955665,817,LOW,
Tmem104,BAE,1,no-UMI,Rnf2,19,H08,0.360939431,1624,VERY GOOD,
Tmem104,BAE,1,no-UMI,pLKO,19,H09,0.364655172,1163,VERY GOOD,
Tmem104,BAE,1,no-UMI,pLKO,19,H10,0.35150925,1029,VERY GOOD,
Tmem104,BAE,1,no-UMI,EMPTY,19,H11,0.5,2,NC,
Tmem104,BAE,1,no-UMI,EMPTY,19,H12,NA,0,NC,
Fam217b,MAE,1,no-UMI,Ctcf,7,A01,1,2,LOW,
Fam217b,MAE,1,no-UMI,Rnf2,7,A02,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Ehmt2,7,A03,1,5,GOOD,
Fam217b,MAE,1,no-UMI,Parp1,7,A04,1,9,MED,
Fam217b,MAE,1,no-UMI,Parp1,7,A05,1,9,LOW,
Fam217b,MAE,1,no-UMI,Zfp57,7,A06,0.998564718,7671,GOOD,
Fam217b,MAE,1,no-UMI,Atf7ip,7,A07,1,16,MED-GOOD,
Fam217b,MAE,1,no-UMI,Hdac2,7,A08,1,532,GOOD,
Fam217b,MAE,1,no-UMI,Kmt5a,7,A09,1,7,LOW,
Fam217b,MAE,1,no-UMI,Suv39h1,7,A10,1,3,MED,
Fam217b,MAE,1,no-UMI,Smchd1,7,A11,0.5,2,LOW,
Fam217b,MAE,1,no-UMI,Sirt1,7,A12,0.998951782,2862,GOOD,
Fam217b,MAE,1,no-UMI,Atrx,7,B01,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Rad21,7,B02,1,2,LOW,
Fam217b,MAE,1,no-UMI,Eed,7,B03,1,13,LOW,
Fam217b,MAE,1,no-UMI,Hdac1,7,B04,1,16,MED,
Fam217b,MAE,1,no-UMI,Dnmt1,7,B05,1,4,LOW,
Fam217b,MAE,1,no-UMI,Eed,7,B06,1,24,MED-GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,7,B07,1,225,MED-GOOD,
Fam217b,MAE,1,no-UMI,Atrx,7,B08,1,19,MED,
Fam217b,MAE,1,no-UMI,Dnmt1,7,B09,1,176,GOOD,
Fam217b,MAE,1,no-UMI,Sirt1,7,B10,1,7,MED,
Fam217b,MAE,1,no-UMI,Parp1,7,B11,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Hdac2,7,B12,0.985865724,283,MED,
Fam217b,MAE,1,no-UMI,Smchd1,7,C01,1,1,LOW,
Fam217b,MAE,1,no-UMI,Ehmt2,7,C02,1,974,GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,7,C03,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Rrm2,7,C04,1,5,LOW,
Fam217b,MAE,1,no-UMI,Smchd1,7,C05,0.999408983,1692,GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,7,C06,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Kmt5a,7,C07,1,8,LOW,
Fam217b,MAE,1,no-UMI,Luciferase,7,C08,1,2174,MED-GOOD,
Fam217b,MAE,1,no-UMI,Dnmt1,7,C09,1,770,MED,
Fam217b,MAE,1,no-UMI,Dnmt1,7,C10,1,3,LOW,
Fam217b,MAE,1,no-UMI,Rad21,7,C11,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Ring1,7,C12,0.998638344,3673,LOW,
Fam217b,MAE,1,no-UMI,Ehmt2,7,D01,1,1223,GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,7,D02,1,5,LOW,
Fam217b,MAE,1,no-UMI,Ring1,7,D03,1,4,LOW,
Fam217b,MAE,1,no-UMI,Kmt5a,7,D04,1,7,LOW,
Fam217b,MAE,1,no-UMI,Ehmt2,7,D05,1,6,LOW,
Fam217b,MAE,1,no-UMI,Ctcf,7,D06,1,2,LOW,
Fam217b,MAE,1,no-UMI,Suv39h1,7,D07,1,611,GOOD,
Fam217b,MAE,1,no-UMI,Atrx,7,D08,1,4,LOW,
Fam217b,MAE,1,no-UMI,GFP,7,D09,1,1984,GOOD,
Fam217b,MAE,1,no-UMI,Hdac2,7,D10,1,6,GOOD,
Fam217b,MAE,1,no-UMI,Hdac2,7,D11,0.555555556,9,LOW,
Fam217b,MAE,1,no-UMI,Smchd1,7,D12,1,1900,GOOD,
Fam217b,MAE,1,no-UMI,Eed,7,E01,0.998575499,1404,LOW,
Fam217b,MAE,1,no-UMI,Atf7ip,7,E02,1,3,LOW,
Fam217b,MAE,1,no-UMI,Eed,7,E03,0.999219969,1284,MED,
Fam217b,MAE,1,no-UMI,Rad21,7,E04,1,2117,GOOD,
Fam217b,MAE,1,no-UMI,Hdac1,7,E05,0.999444444,1800,MED,
Fam217b,MAE,1,no-UMI,Rad21,7,E06,1,1,LOW,
Fam217b,MAE,1,no-UMI,Ehmt2,7,E07,1,570,MED,
Fam217b,MAE,1,no-UMI,Rnf2,7,E08,0.999139044,2325,GOOD,
Fam217b,MAE,1,no-UMI,Kmt5a,7,E09,1,18,MED,
Fam217b,MAE,1,no-UMI,Sirt1,7,E10,1,835,MED,
Fam217b,MAE,1,no-UMI,Zfp57,7,E11,0.998970664,1943,MED,
Fam217b,MAE,1,no-UMI,Ring1,7,E12,0.999383287,3244,MED,
Fam217b,MAE,1,no-UMI,Hdac1,7,F01,1,1567,MED,
Fam217b,MAE,1,no-UMI,Sirt1,7,F02,1,1,LOW,
Fam217b,MAE,1,no-UMI,Atf7ip,7,F03,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Parp1,7,F04,1,447,LOW,
Fam217b,MAE,1,no-UMI,Dnmt1,7,F05,1,568,LOW-MED,
Fam217b,MAE,1,no-UMI,Ctcf,7,F06,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Zfp57,7,F07,1,5,LOW,
Fam217b,MAE,1,no-UMI,Ctcf,7,F08,0.998193859,1664,MED-GOOD,
Fam217b,MAE,1,no-UMI,Rad21,7,F09,0.994594595,185,LOW,
Fam217b,MAE,1,no-UMI,Rnf2,7,F10,0.999185668,2457,MED,
Fam217b,MAE,1,no-UMI,Hdac1,7,F11,1,1,LOW,
Fam217b,MAE,1,no-UMI,Suv39h1,7,F12,1,1809,LOW-MED,
Fam217b,MAE,1,no-UMI,Suv39h1,7,G01,1,2592,MED-GOOD,
Fam217b,MAE,1,no-UMI,Zfp57,7,G02,1,1054,LOW-MED,
Fam217b,MAE,1,no-UMI,Smchd1,7,G03,1,3,LOW,
Fam217b,MAE,1,no-UMI,Atf7ip,7,G04,0.997699827,1740,MED-GOOD,
Fam217b,MAE,1,no-UMI,Ring1,7,G05,0.999382716,1620,MED,
Fam217b,MAE,1,no-UMI,Atf7ip,7,G06,NA,0,LOW,
Fam217b,MAE,1,no-UMI,Eed,7,G07,0.999595633,2477,GOOD,
Fam217b,MAE,1,no-UMI,Ctcf,7,G08,1,293,MED,
Fam217b,MAE,1,no-UMI,Sirt1,7,G09,1,786,LOW,
Fam217b,MAE,1,no-UMI,Zfp57,7,G10,1,250,LOW-MED,
Fam217b,MAE,1,no-UMI,Hdac2,7,G11,1,2,LOW-MED,
Fam217b,MAE,1,no-UMI,Kmt5a,7,G12,1,203,LOW,
Fam217b,MAE,1,no-UMI,Ring1,7,H01,0.999102334,3344,GOOD,
Fam217b,MAE,1,no-UMI,Atrx,7,H02,1,9,LOW,
Fam217b,MAE,1,no-UMI,Parp1,7,H03,0.999377722,1609,MED-GOOD,
Fam217b,MAE,1,no-UMI,Rnf2,7,H04,0.999495077,3962,GOOD,
Fam217b,MAE,1,no-UMI,Atrx,7,H05,0.999640546,2783,GOOD,
Fam217b,MAE,1,no-UMI,Suv39h1,7,H06,1,2,LOW,
Fam217b,MAE,1,no-UMI,Hdac1,7,H07,1,1037,LOW-MED,
Fam217b,MAE,1,no-UMI,Rnf2,7,H08,0.999027237,2058,MED-GOOD,
Fam217b,MAE,1,no-UMI,pLKO,7,H09,0.999628045,5379,GOOD,
Fam217b,MAE,1,no-UMI,pLKO,7,H10,1,3811,GOOD,
Fam217b,MAE,1,no-UMI,EMPTY,7,H11,1,1,L-NC,
Fam217b,MAE,1,no-UMI,EMPTY,7,H12,1,5,L-NC,
Fam217b,MAE,1,no-UMI,Ctcf,19,A01,1,1,LOW-VL,
Fam217b,MAE,1,no-UMI,Rnf2,19,A02,1,3,LOW-VL,
Fam217b,MAE,1,no-UMI,Ehmt2,19,A03,1,3332,VERY GOOD,
Fam217b,MAE,1,no-UMI,Parp1,19,A04,0.999478261,5752,VERY GOOD,
Fam217b,MAE,1,no-UMI,Parp1,19,A05,1,1,LOW-NC,
Fam217b,MAE,1,no-UMI,Zfp57,19,A06,0.999476348,5741,VERY GOOD,
Fam217b,MAE,1,no-UMI,Atf7ip,19,A07,0.999399129,6662,MED,
Fam217b,MAE,1,no-UMI,Hdac2,19,A08,0.999811534,5311,VERY GOOD,
Fam217b,MAE,1,no-UMI,Kmt5a,19,A09,1,1,LOW-VL,
Fam217b,MAE,1,no-UMI,Suv39h1,19,A10,0.999507632,4064,VERY GOOD,
Fam217b,MAE,1,no-UMI,Smchd1,19,A11,NA,0,LOW-VL,
Fam217b,MAE,1,no-UMI,Sirt1,19,A12,0.424759081,9449,GOOD,
Fam217b,MAE,1,no-UMI,Atrx,19,B01,NA,0,LOW-VL,
Fam217b,MAE,1,no-UMI,Rad21,19,B02,1,3,LOW-NC,
Fam217b,MAE,1,no-UMI,Eed,19,B03,1,2,LOW-NC,
Fam217b,MAE,1,no-UMI,Hdac1,19,B04,1,3516,MED,
Fam217b,MAE,1,no-UMI,Dnmt1,19,B05,1,7,LOW-VL,
Fam217b,MAE,1,no-UMI,Eed,19,B06,1,84,VL,
Fam217b,MAE,1,no-UMI,Rrm2,19,B07,1,3160,VERY GOOD,
Fam217b,MAE,1,no-UMI,Atrx,19,B08,0.999557522,2260,VERY GOOD,
Fam217b,MAE,1,no-UMI,Dnmt1,19,B09,0.999217833,2559,VERY GOOD,
Fam217b,MAE,1,no-UMI,Sirt1,19,B10,1,3407,LOW,
Fam217b,MAE,1,no-UMI,Parp1,19,B11,1,1,VL,
Fam217b,MAE,1,no-UMI,Hdac2,19,B12,1,8,MED-GOOD,
Fam217b,MAE,1,no-UMI,Smchd1,19,C01,NA,0,LOW-NC,
Fam217b,MAE,1,no-UMI,Ehmt2,19,C02,0.999658587,2934,VERY GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,19,C03,1,2,LOW-NC,
Fam217b,MAE,1,no-UMI,Rrm2,19,C04,NA,0,LOW-NC,
Fam217b,MAE,1,no-UMI,Smchd1,19,C05,0.999717833,3545,VERY GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,19,C06,0.999425122,3480,MED,
Fam217b,MAE,1,no-UMI,Kmt5a,19,C07,NA,0,LOW-NC,
Fam217b,MAE,1,no-UMI,Luciferase,19,C08,1,2528,VERY GOOD,
Fam217b,MAE,1,no-UMI,Dnmt1,19,C09,1,2382,VERY GOOD,
Fam217b,MAE,1,no-UMI,Dnmt1,19,C10,1,5,LOW-NC,
Fam217b,MAE,1,no-UMI,Rad21,19,C11,NA,0,LOW-NC,
Fam217b,MAE,1,no-UMI,Ring1,19,C12,1,1858,MED,
Fam217b,MAE,1,no-UMI,Ehmt2,19,D01,1,2253,VERY GOOD,
Fam217b,MAE,1,no-UMI,Rrm2,19,D02,1,6,LOW-NC,
Fam217b,MAE,1,no-UMI,Ring1,19,D03,1,3,LOW-NC,
Fam217b,MAE,1,no-UMI,Kmt5a,19,D04,1,5,LOW-NC,
Fam217b,MAE,1,no-UMI,Ehmt2,19,D05,1,6,LOW-NC,
Fam217b,MAE,1,no-UMI,Ctcf,19,D06,NA,0,LOW-NC,
Fam217b,MAE,1,no-UMI,Suv39h1,19,D07,0.999687695,3206,VERY GOOD,
Fam217b,MAE,1,no-UMI,Atrx,19,D08,1,307,VL,
Fam217b,MAE,1,no-UMI,GFP,19,D09,0.999170813,2418,GOOD,
Fam217b,MAE,1,no-UMI,Hdac2,19,D10,1,1529,MED-GOOD,
Fam217b,MAE,1,no-UMI,Hdac2,19,D11,1,2,LOW-NC,
Fam217b,MAE,1,no-UMI,Smchd1,19,D12,0.981412639,269,VERY GOOD,
Fam217b,MAE,1,no-UMI,Eed,19,E01,0.999214145,2546,VERY GOOD,
Fam217b,MAE,1,no-UMI,Atf7ip,19,E02,1,2221,LOW,
Fam217b,MAE,1,no-UMI,Eed,19,E03,1,2713,MED-GOOD,
